,scores,paramters
390,0.520484807101,"[50, 50, 100, 100, 100]"
391,0.608142710823,"[50, 50, 100, 100, 100]"
392,0.616507340389,"[50, 50, 100, 100, 100]"
393,0.615781836804,"[50, 50, 100, 100, 100]"
394,0.669213041994,"[50, 50, 100, 100, 100]"
395,0.634772960055,"[50, 50, 100, 100, 100]"
396,0.634090133151,"[50, 50, 100, 100, 32]"
397,0.675145100717,"[50, 50, 100, 100, 32]"
398,0.593291225674,"[50, 50, 100, 100, 32]"
399,0.609849778081,"[50, 50, 100, 100, 32]"
400,0.598625810857,"[50, 50, 100, 100, 32]"
401,0.669170365312,"[50, 50, 100, 100, 32]"
402,0.590645271424,"[50, 50, 100, 100, 32]"
403,0.576903379993,"[50, 50, 100, 100, 32]"
404,0.62559747354,"[50, 50, 100, 100, 32]"
405,0.558979173779,"[50, 50, 100, 32, 300]"
406,0.650520655514,"[50, 50, 100, 32, 300]"
407,0.519716626835,"[50, 50, 100, 32, 300]"
408,0.716370775009,"[50, 50, 100, 32, 300]"
409,0.633065892796,"[50, 50, 100, 32, 300]"
410,0.628072721065,"[50, 50, 100, 32, 300]"
411,0.620604301809,"[50, 50, 100, 32, 300]"
412,0.511608057357,"[50, 50, 100, 32, 300]"
413,0.597473540457,"[50, 50, 100, 32, 300]"
414,0.60396039604,"[50, 50, 100, 32, 100]"
415,0.640235575282,"[50, 50, 100, 32, 100]"
416,0.561198361215,"[50, 50, 100, 32, 100]"
417,0.689527142369,"[50, 50, 100, 32, 100]"
418,0.64983782861,"[50, 50, 100, 32, 100]"
419,0.65508706043,"[50, 50, 100, 32, 100]"
420,0.663238306589,"[50, 50, 100, 32, 100]"
421,0.630718675316,"[50, 50, 100, 32, 100]"
422,0.624786616593,"[50, 50, 100, 32, 100]"
423,0.590346534653,"[50, 50, 100, 32, 32]"
424,0.693880163878,"[50, 50, 100, 32, 32]"
425,0.660976442472,"[50, 50, 100, 32, 32]"
426,0.652611812905,"[50, 50, 100, 32, 32]"
427,0.687521338341,"[50, 50, 100, 32, 32]"
428,0.637504267668,"[50, 50, 100, 32, 32]"
429,0.620348241721,"[50, 50, 100, 32, 32]"
430,0.638656538068,"[50, 50, 100, 32, 32]"
431,0.708134175487,"[50, 50, 100, 32, 32]"
432,0.588980880847,"[50, 50, 32, 100, 300]"
433,0.482673267327,"[50, 50, 32, 100, 300]"
