,scores,paramaters
0,0.693111983612,"[100, 50, 500, 12, 6, 1.0, 1.0000000000000001e-05]"
1,0.703823830659,"[100, 50, 500, 12, 6, 1.0000000000000001e-05, 1.0]"
2,0.737026288836,"[100, 50, 500, 12, 6, 1.0000000000000001e-05, 1.0000000000000001e-05]"
3,0.694989757596,"[100, 50, 300, 32, 32, 1.0, 1.0]"
4,0.679242062137,"[100, 50, 300, 32, 32, 1.0, 1.0000000000000001e-05]"
5,0.733484124274,"[100, 50, 300, 32, 32, 1.0000000000000001e-05, 1.0]"
6,0.656804796859,"[100, 50, 300, 32, 32, 1.0000000000000001e-05, 1.0000000000000001e-05]"
7,0.61622994196,"[100, 50, 300, 32, 12, 1.0, 1.0]"
8,0.687702714237,"[100, 50, 300, 32, 12, 1.0, 1.0000000000000001e-05]"
9,0.656687435985,"[100, 50, 300, 32, 12, 1.0000000000000001e-05, 1.0]"
10,0.54818197337,"[100, 50, 300, 32, 12, 1.0000000000000001e-05, 1.0000000000000001e-05]"
11,0.434437948105,"[100, 50, 300, 32, 6, 1.0, 1.0]"
12,0.665724223284,"[100, 50, 300, 32, 6, 1.0, 1.0000000000000001e-05]"
13,0.470040969614,"[100, 50, 300, 32, 6, 1.0000000000000001e-05, 1.0]"
14,0.70415457494,"[100, 50, 300, 32, 6, 1.0000000000000001e-05, 1.0000000000000001e-05]"
15,0.716456128371,"[100, 50, 300, 12, 32, 1.0, 1.0]"
16,0.702287470126,"[100, 50, 300, 12, 32, 1.0, 1.0000000000000001e-05]"
17,0.678783287812,"[100, 50, 300, 12, 32, 1.0000000000000001e-05, 1.0]"
18,0.714140918402,"[100, 50, 300, 12, 32, 1.0000000000000001e-05, 1.0000000000000001e-05]"
19,0.57331853875,"[100, 50, 300, 12, 12, 1.0, 1.0]"
20,0.685771594401,"[100, 50, 300, 12, 12, 1.0, 1.0000000000000001e-05]"
21,0.651246159099,"[100, 50, 300, 12, 12, 1.0000000000000001e-05, 1.0]"
22,0.69831853875,"[100, 50, 300, 12, 12, 1.0000000000000001e-05, 1.0000000000000001e-05]"
23,0.705829634688,"[100, 50, 300, 12, 6, 1.0, 1.0]"
24,0.708859679071,"[100, 50, 300, 12, 6, 1.0, 1.0000000000000001e-05]"
25,0.481841072038,"[100, 50, 300, 12, 6, 1.0000000000000001e-05, 1.0]"
26,0.52746244452,"[100, 50, 300, 12, 6, 1.0000000000000001e-05, 1.0000000000000001e-05]"
